Borough,Resturants,Pubs,Underground Stations,Crime Rates,Toilet Paper Availability,Parks
Barking and Dagenham,35,20,5,7.82,62,100
Barnet,270,80,13,6.47,75,24
Bexley,110,95,0,5.55,67,22
Brent,190,70,21,7.18,88,123
Bromley,200,95,0,5.91,89,65
Camden,600,235,17,12.42,44,35
Croydon,205,85,0,7.45,12,45
Ealing,190,95,14,7.33,23,22
Enfield,150,65,4,7.3,43,66
Greenwich,145,75,1,8.25,45,33
Hackney,285,175,1,10.94,95,65
Hammersmith and Fulham,270,105,17,11.06,90,97
Haringey,175,70,7,9.66,12,55
Harrow,150,45,10,5.62,11,46
Havering,130,60,4,5.79,8,86
Hillingdon,165,85,15,6.83,67,54
Hounslow,150,80,11,7.89,55,23
Islington,370,205,11,11.15,65,67
Kensington and Chelsea,400,120,12,12.49,78,86
Kingston upon Thames,120,65,0,6.09,33,69
Lambeth,295,140,8,8.95,23,66
Lewisham,130,70,0,7.57,22,54
Merton,120,45,5,5.86,1,22
Newham,125,50,7,8.55,2,75
Redbridge,130,55,10,6.04,3,46
Richmond upon Thames,195,125,2,4.99,43,43
Southwark,295,175,8,10.08,2,45
Sutton,95,55,0,5.21,3,65
Tower Hamlets,320,120,11,8.97,4,33
Waltham Forest,135,45,4,6.58,6,54
Wandsworth,275,130,6,6.59,4,67
Westminster,1270,425,32,25.32,0,35
City of London,720,292,13,19.78,0,27
